id,snapshot_time,job_type,total_messages,unique_messages,avg_latency,min_latency,max_latency,p50_latency,p95_latency,p99_latency,stddev_latency,duplicate_messages,duplicate_rate,max_process_count,total_reprocess_count,throughput_per_sec,time_window_sec,data_range_start,data_range_end,note
70,2026-01-02 23:17:04,flink-fault-after,300000,300000,180131.36,5975,430464,187565.0,409799.0,424702.0,118534.5,240307,80.1023,18,979786,573.93,523,1767366473737,1767367002839,flink-qps3000-data300000-内部故障-100-3000
71,2026-01-02 23:31:19,flink-fault-after,300000,300000,149275.41,3827,321391,133396.0,316481.0,320549.0,92358.29,242700,80.9,14,813697,721.81,416,1767367430605,1767367850580,flink-qps3000-data300000-内部故障-150-2000
72,2026-01-03 00:02:51,flink-fault-after,300000,300000,333520.56,3911,650789,350502.0,603993.0,641089.0,175067.03,259897,86.6323,30,1418361,402.95,745,1767369003488,1767369752906,flink-qps3000-data300000-内部故障-200-1500
